"id_microrregiao","volume_producao_cana","microrregiao_centro_sul","uf"
35004,"473721695","São José do Rio Preto","SP"
35010,"377615223","São Joaquim da Barra","SP"
35014,"362846755","Ribeirão Preto","SP"
35036,"320732162","Presidente Prudente","SP"
35024,"312307290","Araraquara","SP"
35013,"310754371","Jaboticabal","SP"
50010,"293544328","Dourados","MS"
35039,"253622427","Assis","SP"
35021,"245591114","Jaú","SP"
52015,"239380119","Meia Ponte","GO"
31022,"239341752","Uberaba","MG"
52013,"234537856","Sudoeste de Goiás","GO"
31021,"227733259","Frutal","MG"
35017,"210628527","Araçatuba","SP"
35016,"207235276","Andradina","SP"
35018,"162131311","Birigui","SP"
52018,"158711462","Quirinópolis","GO"
35020,"157117982","Bauru","SP"
35028,"148571118","Piracicaba","SP"
35005,"147276747","Catanduva","SP"
35009,"144847546","Barretos","SP"
50011,"131969478","Iguatemi","MS"
35011,"129727021","Ituverava","SP"
41001,"128652830","Paranavaí","PR"
35025,"126353510","São Carlos","SP"
35008,"123684345","Novo Horizonte","SP"
35019,"122011756","Lins","SP"
51013,"119994690","Tangará da Serra","MT"
41006,"112956273","Astorga","PR"
35015,"112113664","Batatais","SP"
52014,"106927165","Vale do Rio dos Bois","GO"
35030,"106782282","São João da Boa Vista","SP"
41003,"105182271","Cianorte","PR"
35027,"103092025","Limeira","SP"
35040,"102287809","Ourinhos","SP"
35034,"95001163","Dracena","SP"
52006,"92708847","Ceres","GO"
35035,"89571955","Adamantina","SP"
35003,"87286254","Votuporanga","SP"
35007,"83822990","Nhandeara","SP"
35012,"82509097","Franca","SP"
31017,"78673216","Ituiutaba","MG"
35023,"78167160","Botucatu","SP"
41002,"70952222","Umuarama","PR"
31023,"70873094","Araxá","MG"
50005,"70051823","Cassilândia","MS"
35026,"67860683","Rio Claro","SP"
35029,"67156366","Pirassununga","SP"
35001,"66941029","Jales","SP"
31018,"63946660","Uberlândia","MG"
35002,"61297516","Fernandópolis","SP"
31002,"61250506","Paracatu","MG"
35022,"59698759","Avaré","SP"
41016,"56877231","Jacarezinho","PR"
35032,"54068062","Campinas","SP"
35006,"51931039","Auriflama","SP"
51004,"50395801","Parecis","MT"
35037,"46810804","Tupã","SP"
50008,"45527962","Nova Andradina","MS"
35043,"43618845","Tatuí","SP"
35031,"40574012","Mogi Mirim","SP"
51022,"38203695","Alto Araguaia","MT"
52012,"36827776","Entorno de Brasília","GO"
41015,"35927950","Cornélio Procópio","PR"
35038,"30521845","Marília","SP"
31026,"30507888","Bom Despacho","MG"
50006,"24971322","Paranaíba","MS"
35046,"22698634","Sorocaba","SP"
41007,"22429721","Porecatu","PR"
31047,"20988146","Passos","MG"
31048,"20674136","São Sebastião do Paraíso","MG"
41005,"19783757","Campo Mourão","PR"
51014,"19133785","Jauru","MT"
52009,"18734805","Anicuns","GO"
29003,"18726600","Santa Maria da Vitória","MG"
35042,"18322957","Itapetininga","SP"
31042,"17752871","Piuí","MG"
52007,"17125108","Anápolis","GO"
51021,"16660114","Rondonópolis","MT"
31001,"16313733","Unaí","MG"
50003,"15827324","Alto Taquari","MS"
31024,"14896509","Três Marias","MG"
31060,"14713205","Ponte Nova","MG"
50004,"12636484","Campo Grande","MS"
41012,"12434162","Faxinal","PR"
24003,"12299933","Médio Oeste","SP"
31004,"11340023","Janaúba","MG"
41013,"10259115","Ivaiporã","PR"
31049,"8699587","Alfenas","MG"
41009,"8318130","Maringá","PR"
41017,"7757252","Ibaiti","PR"
35041,"7585329","Itapeva","SP"
42019,"7354534","Criciúma","GO"
52017,"6681698","Catalão","GO"
52004,"6538530","Porangatu","GO"
51018,"6260489","Alto Pantanal","MT"
41008,"6171189","Floraí","PR"
51005,"5976465","Arinos","MT"
41004,"5874982","Goioerê","PR"
50007,"5076362","Três Lagoas","MS"
31016,"4804625","Nanuque","MG"
31005,"4256575","Salinas","MG"
41014,"3866557","Assaí","PR"
31044,"3862678","Formiga","MG"
41010,"3699947","Apucarana","PR"
52003,"3425311","Aragarças","GO"
41011,"3191771","Londrina","PR"
31007,"3159440","Montes Claros","MG"
35033,"2698922","Amparo","SP"
35050,"2445572","São José dos Campos","SP"
31003,"2180510","Januária","MG"
31015,"2090267","Teófilo Otoni","MG"
31025,"1900200","Curvelo","MG"
31062,"1880903","Viçosa","MG"
31036,"1821771","Peçanha","MG"
31031,"1776346","Itabira","MG"
31064,"1750251","Ubá","MG"
31035,"1748311","Guanhães","MG"
31051,"1745959","Poços de Caldas","MG"
31027,"1703022","Sete Lagoas","MG"
52010,"1492575","Goiânia","GO"
41018,"1457329","Wenceslau Braz","PR"
31009,"1323970","Bocaiúva","MG"
41023,"1262596","Cascavel","PR"
31043,"1259623","Divinópolis","MG"
51015,"1157662","Alto Paraguai","MT"
41022,"1035875","Toledo","PR"
31037,"1032479","Governador Valadares","MG"
31011,"1022088","Capelinha","MG"
31040,"1018573","Caratinga","MG"
31012,"994022","Araçuaí","MG"
